Model,CV_Mean_Accuracy,CV_Std_Accuracy,CV_Mean_Precision,CV_Std_Precision,CV_Mean_Recall,CV_Std_Recall,CV_Mean_F1,CV_Std_F1,CV_Mean_Ignorances,CV_Std_Ignorances,CV_Mean_RPS,CV_Std_RPS,Holdout_Accuracy,Holdout_Precision,Holdout_Recall,Holdout_F1,Holdout_ignorances,Holdout_RPS
voting_lrm,0.5147832940949706,0.016958167522078224,0.5251906789529233,0.09480668032004716,0.5147832940949706,0.016958167522078224,0.44811471016049753,0.005165097811574066,1.4426153009234552,0.019819782658511552,0.21398312709167394,0.004211838292911352,0.5570469798657718,0.43097951320246297,0.5570469798657718,0.48485519929838644,1.3936610765080673,0.2073399278275122
voting_xlc,0.4896780389079344,0.015688422727116597,0.45494504119831286,0.009906690785374164,0.4896780389079344,0.015688422727116597,0.45312893115648967,0.009557075526830001,1.5820987655523862,0.029292055831354028,0.22955380966654068,0.005673099418561046,0.5201342281879194,0.44625164103441284,0.5201342281879194,0.4724793061886569,1.4668961448931233,0.2152108056794968
voting_slc,0.4989457271488167,0.015886444615709046,0.4652806587714564,0.013485090047863978,0.4989457271488167,0.015886444615709046,0.455416186698133,0.009146156586456487,1.504434505877552,0.027292504037334596,0.2210746777372851,0.005629313092673858,0.5234899328859061,0.44266511116706286,0.5234899328859061,0.47048721656910847,1.421051188775183,0.2098779678310318
voting_sln,0.4977716051932317,0.019227970674486713,0.4515289327480378,0.041933549456873415,0.4977716051932317,0.019227970674486713,0.4437623464952292,0.00910052235698616,1.4859476060101766,0.04062383759338362,0.22121494218621365,0.006081594073400994,0.5436241610738255,0.424126338075597,0.5436241610738255,0.4764622423440514,1.4161401085996932,0.2117079986458527
voting_sl,0.5130232125893188,0.017686118413625187,0.45904501982822454,0.03980673132509777,0.5130232125893188,0.017686118413625187,0.44451481743792093,0.005217372120797522,1.44668415985708,0.02543946543022459,0.21458022841416974,0.005472577602722626,0.5536912751677853,0.42601943239605317,0.5536912751677853,0.4775926791415468,1.396734706878762,0.20730042653515585
voting_sn,0.4893253066787824,0.0205157005992279,0.4430585753297727,0.04105670884759705,0.4893253066787824,0.0205157005992279,0.44100987792263746,0.010726490358070977,1.5317831561347195,0.04691134026840636,0.2293393591584231,0.0058624911165063,0.5486577181208053,0.5402576375914186,0.5486577181208053,0.4842690517805503,1.4541556636410344,0.21917042928920993
voting_sr,0.5138439139234232,0.015657878523247022,0.46528522852705334,0.02062053741251106,0.5138439139234232,0.015657878523247022,0.4591701051546825,0.011084158612630833,1.4467278674432902,0.018141785883892148,0.21490215257159329,0.004018228596740713,0.5604026845637584,0.43519575596117865,0.5604026845637584,0.48948073910643725,1.3979947381241522,0.20839918430480875
voting_lgbms,0.49636439359519785,0.015737770139721604,0.45789193368146497,0.013930869197379195,0.49636439359519785,0.015737770139721604,0.45422719440109144,0.01035191807351369,1.5208707976755682,0.025042246421644043,0.22447020301577086,0.005122230983791632,0.5234899328859061,0.44332454155472034,0.5234899328859061,0.46960105235670946,1.439357443849934,0.21319286755158304
voting_final,0.509034185563036,0.016134073966510846,0.4599447196660721,0.029105320882880675,0.509034185563036,0.016134073966510846,0.4557513008430896,0.011154628928863347,1.4669077163604016,0.020533529393142038,0.21667039125816415,0.004953225936368213,0.5419463087248322,0.46363805797732105,0.5419463087248322,0.4772808174388319,1.3942422567071482,0.20687026589929233
stack_lrm,0.47360593669544143,0.014938073238671678,0.4388647662820098,0.010065018861602023,0.47360593669544143,0.014938073238671678,0.4453867904337427,0.010436923515853194,1.583559705883872,0.04539620049682511,0.22703317032615195,0.004683767016271435,0.5385906040268457,0.5000237942256198,0.5385906040268457,0.5049766325258855,1.4780865699581636,0.21768846745353793
stack_xlc,0.4726680021477841,0.021234268306097304,0.4301311370830415,0.020296565519759127,0.4726680021477841,0.021234268306097304,0.43429633891688413,0.019844318720233605,1.520555611969965,0.0269927101835334,0.22771650736032986,0.007352259366959937,0.5,0.4475583009830677,0.5,0.4617800773379332,1.454277077869788,0.21617549645605436
stack_slc,0.4878014125810582,0.018255949549357036,0.44575029594025145,0.017738483897273668,0.4878014125810582,0.018255949549357036,0.44940253873579455,0.016393211842893413,1.519744584870128,0.0254225468966059,0.22323996801867815,0.005103035385751289,0.5503355704697986,0.509248389310718,0.5503355704697986,0.516157223135232,1.4182363164823146,0.20803927911032005
stack_sl,0.4666824308509906,0.014392069503344065,0.43443247011895875,0.01907977192489504,0.4666824308509906,0.014392069503344065,0.44232726421373136,0.017882253313695626,1.6472910558058165,0.034032506308428606,0.23215982419199657,0.003562241885093893,0.5318791946308725,0.5052144728260988,0.5318791946308725,0.5116231024938098,1.6307373851427323,0.21867659369738532
stack_sn,0.4698511007393334,0.016082551257984568,0.43873234077878986,0.011646801951865777,0.4698511007393334,0.016082551257984568,0.445303220595296,0.011933573891445297,1.5909385134948535,0.02893340112589342,0.23070349416634128,0.005001047015939087,0.5,0.46339587435078405,0.5,0.47603193808130195,1.57465817246699,0.2176428477556136
stack_sr,0.4755983506119808,0.018359123351418656,0.439965514243973,0.02238381985677759,0.4755983506119808,0.018359123351418656,0.44645640311046425,0.020084141622300784,1.578754648179967,0.05034057679026794,0.2272956856214039,0.004653644238912306,0.5067114093959731,0.4619422254156312,0.5067114093959731,0.47057210173738456,1.5462410247582177,0.21591091968216453
stack_lgbms,0.47665572122864264,0.01343440174711794,0.4436165515590734,0.014804515877767809,0.47665572122864264,0.01343440174711794,0.4497004706085714,0.012644955777222721,1.5477477481106372,0.0366093183888696,0.22837645965432912,0.004385358423491436,0.5083892617449665,0.46384857639345306,0.5083892617449665,0.4781066450937788,1.4666747667290183,0.21746560141329285
2step_cr,,,,,,,,,,,,,0.5184563758389261,0.4279967459833231,0.5184563758389261,0.460099723326403,9.561102544672856,0.276074489433197
2step_clgbm,,,,,,,,,,,,,0.5151006711409396,0.4923206350023739,0.5151006711409396,0.49626942821322895,9.642875263340292,0.27809911018809363
2step_cs,,,,,,,,,,,,,0.5201342281879194,0.42644747671154243,0.5201342281879194,0.4592910767654623,9.564360498826467,0.2760294709080968
2step_sr,,,,,,,,,,,,,0.5486577181208053,0.4267394920056499,0.5486577181208053,0.48006892675293006,13.056790063974491,0.3024752038683308
2step_sn,,,,,,,,,,,,,0.511744966442953,0.42246020387022704,0.511744966442953,0.45370486705877777,9.801639312686298,0.289433426948533
2step_sl,,,,,,,,,,,,,0.5234899328859061,0.44613339525491413,0.5234899328859061,0.46347665076431466,7.59665185738574,0.2446890081839168
2step_ln,,,,,,,,,,,,,0.5100671140939598,0.5083233714785985,0.5100671140939598,0.500527869818689,7.701997986869403,0.24708081826337466
2step_lgbms,,,,,,,,,,,,,0.5201342281879194,0.42644747671154243,0.5201342281879194,0.4592910767654623,9.564360498826467,0.2760294709080968
